KUNDEN_NR,BESCHAEFTIGUNG_STATUS,ARBEITGEBER,BRANCHE_CODE,BERUFSBEZEICHNUNG,ABTEILUNG,EINTRITTSDATUM,BESCHAEFTIGUNG_JAHRE,VERTRAGSART,WOCHEN_STUNDEN,JAHRES_URLAUBSTAGE,BETRIEBLICHE_AV,SOZIALVERSICHERUNGS_NR,STEUERKLASSE,STEUER_IDENTIFIKATIONS_NR,RENTEN_VERSICHERUNGS_NR,KV_ART,KRANKENKASSE_NAME,ARBEITGEBER_PLZ,ARBEITGEBER_ORT,ARBEITGEBER_LAND,PROBEZEIT_AKTIV,KUENDIGUNGSFRIST_MONATE,GEHALTSINTERVALL,NAECHSTE_GEHALTSERHOHUNG,GEWERKSCHAFT_MITGLIED,BETRIEBSRAT_MITGLIED
KD001,BEAMTER,BMW AG,Automobil,Softwareentwickler,IT-Entwicklung,15.02.2018,7.7,PROJEKTBASIS,30.0,26,J,93623582M08,1,28384412919,11246413,GESETZLICH,IKK,92210,Dingolfing,DE,N,6,WOECHENTLICH,28.03.2026,N,N
KD002,VOLLZEIT,Volkswagen AG,Automobil,Buchhalter,Rechnungswesen,02.02.2018,4.3,PROJEKTBASIS,35.0,35,J,75349666I08,1,37678998028,11238739,PRIVAT,TK,38440,Wolfsburg,DE,N,6,MONATLICH,12.07.2024,J,N
KD003,VOLLZEIT,Siemens AG,Technik,Ingenieur,Technik,23.11.2011,10.8,UNBEFRISTET,40.0,27,N,89690442D02,4,78328872698,11630458,PRIVAT,DAK,80333,München,DE,J,1,MONATLICH,26.01.2026,N,N
KD004,VOLLZEIT,Deutsche Bank AG,Finanzen,Vertriebsmanager,Vertrieb,30.01.2001,7.7,BEFRISTET,35.0,27,N,52392237C05,2,54788785773,11634150,PRIVAT,BKK,60311,Frankfurt,DE,J,1,HALBJAEHRLICH,31.12.2024,N,J
KD005,VOLLZEIT,Bosch GmbH,Technik,Krankenpfleger,Pflege,20.08.2007,12.4,BEFRISTET,30.0,35,J,68239917Z08,2,95670298515,11686075,PRIVAT,hkk,70469,Stuttgart,DE,N,12,HALBJAEHRLICH,02.07.2026,N,N
KD006,RENTNER,Allianz SE,Versicherung,Lehrer,Bildung,20.03.2020,19.4,UNBEFRISTET,30.0,32,J,41309145A03,5,40235528741,11596564,GESETZLICH,TK,80802,München,DE,N,3,HALBJAEHRLICH,09.12.2024,J,N
KD007,GERINGFUEGIG,SAP SE,IT,Rechtsanwalt,Recht,15.02.2009,14.2,PROJEKTBASIS,38.5,31,N,80656812L07,4,80455184454,11468900,PRIVAT,IKK,69190,Walldorf,DE,J,3,MONATLICH,04.09.2024,N,N
KD008,SELBSTAENDIG,Daimler AG,Automobil,Arzt,Medizin,25.02.2002,5.9,UNBEFRISTET,40.0,26,J,92256327I03,4,19164035859,11273982,PRIVAT,IKK,70372,Stuttgart,DE,N,1,HALBJAEHRLICH,14.09.2025,N,N
KD009,SELBSTAENDIG,Lufthansa AG,Transport,Marketingmanager,Marketing,12.01.2016,2.7,BEFRISTET,35.0,31,N,80251769M04,2,86645719501,11882544,GESETZLICH,Barmer,60549,Frankfurt,DE,J,6,HALBJAEHRLICH,05.11.2026,N,J
KD010,SELBSTAENDIG,Deutsche Telekom AG,Telekommunikation,Projektleiter,Management,01.11.2003,11.3,PROJEKTBASIS,35.0,26,N,42799334A08,5,46827579147,11673149,GESETZLICH,Barmer,53113,Bonn,DE,N,3,WOECHENTLICH,04.09.2025,N,N
KD011,RENTNER,Bundesagentur für Arbeit,Öffentlicher Dienst,Elektriker,Handwerk,09.04.2016,18.5,AUSBILDUNG,40.0,35,J,27147650B05,6,73224683417,11201913,GESETZLICH,DAK,90478,Nürnberg,DE,N,6,HALBJAEHRLICH,08.05.2026,N,N
KD012,TEILZEIT,TU München,Bildung,Kaufmann,Verwaltung,12.08.2019,17.0,PROJEKTBASIS,20.0,28,N,58726511Q05,2,68642831335,11734836,PRIVAT,Barmer,80333,München,DE,J,12,WOECHENTLICH,16.03.2025,N,N
KD013,SELBSTAENDIG,Rhön-Klinikum AG,Gesundheit,Logistiker,Logistik,21.09.2022,6.7,AUSBILDUNG,35.0,26,N,44326141Y09,3,24470626529,11550797,GESETZLICH,IKK,97616,Bad Neustadt,DE,N,6,WOECHENTLICH,23.09.2025,J,N
KD014,GERINGFUEGIG,Edeka Zentrale GmbH,Handel,Datenanalyst,IT-Analyse,20.06.2001,21.3,UNBEFRISTET,20.0,32,N,69573967B01,2,57993027458,11401022,GESETZLICH,Barmer,22339,Hamburg,DE,N,12,WOECHENTLICH,26.02.2026,N,N
KD015,SELBSTAENDIG,Thyssen-Krupp AG,Industrie,Steuerberater,Beratung,14.09.2018,14.1,PROJEKTBASIS,40.0,30,J,66740356J08,3,39673390109,11350786,PRIVAT,hkk,45143,Essen,DE,N,3,WOECHENTLICH,21.06.2026,N,N
KD016,VOLLZEIT,BMW AG,Automobil,Softwareentwickler,IT-Entwicklung,30.08.2009,21.9,AUSBILDUNG,38.5,25,N,42883719A06,3,18470228863,11352838,GESETZLICH,BKK,92210,Dingolfing,DE,N,1,HALBJAEHRLICH,24.11.2025,N,N
KD017,BEAMTER,Volkswagen AG,Automobil,Buchhalter,Rechnungswesen,03.09.2009,7.8,PROJEKTBASIS,30.0,32,N,50781214I04,2,24127824235,11871411,GESETZLICH,hkk,38440,Wolfsburg,DE,N,6,WOECHENTLICH,29.08.2024,N,N
