KUNDEN_NR,KARTE_VORHANDEN,KARTENTYP,KARTEN_NR_MASKIERT,ABLAUF_MONAT,ABLAUF_JAHR,KARTENLIMIT,VERFUEGBARES_KARTENLIMIT,KARTENSALDO,MINDESTRUCKZAHLUNG,NAECHSTE_FAELLIGKEIT,KARTEN_ZINSSATZ,JAHRESGEBUEHR,KARTENHERAUSGEBER,KARTENSTATUS,AUSLANDSTRANSAKTION_ERLAUBT,KONTAKTLOSZAHLUNG_AKTIV,SPERRGRUND,AUSSTELLUNGSDATUM,LETZTE_BUCHUNG_DATUM,LETZTE_BUCHUNG_BETRAG,TRANSAKTIONEN_MONAT,CASHBACK_AKTIV,BONUSPUNKTE,ZUSATZKARTENINHABER
KD001,J,MASTERCARD,****-****-****-8563,10,2029,2209.31,1695.91,47.57,1.43,26.12.2025,17.00,29.99,Comdirect,AKTIV,N,N,,25.07.2019,20.11.2024,245.75,17,J,23436,
KD002,J,MAESTRO,****-****-****-9300,2,2028,9911.66,4750.01,3178.12,95.34,09.12.2025,19.08,0.00,Comdirect,ABGELAUFEN,J,J,,13.10.2020,02.12.2024,533.43,11,J,18455,
KD003,J,MAESTRO,****-****-****-9499,6,2028,1506.47,148.55,267.55,8.03,25.07.2025,20.70,99.99,Commerzbank,KUENDIGUNG_BEANTRAGT,N,N,,12.03.2023,13.12.2024,472.93,33,J,11303,
KD004,J,MAESTRO,****-****-****-3321,2,2027,4451.77,4281.39,413.37,12.40,22.12.2024,18.02,49.99,Comdirect,GESPERRT,N,N,,05.05.2023,19.02.2024,353.34,45,N,10450,Birgit Partner
KD005,J,VISA,****-****-****-3692,12,2025,714.56,245.15,62.52,1.88,06.09.2024,20.06,99.99,Commerzbank,ABGELAUFEN,N,N,,07.08.2020,26.07.2024,505.66,12,N,12962,Christine Partner
KD006,J,MASTERCARD,****-****-****-5560,8,2029,4580.75,20.38,787.14,23.61,21.12.2025,22.99,0.00,Sparkasse,AKTIV,J,N,,28.08.2021,10.04.2024,368.75,17,N,17292,
KD007,J,AMERICAN_EXPRESS,****-****-****-8501,10,2028,6307.43,3702.49,1755.61,52.67,24.09.2025,16.62,29.99,Sparkasse,AKTIV,J,N,,28.04.2019,02.05.2024,247.78,12,N,22722,Andreas Partner
KD008,J,MAESTRO,****-****-****-9804,7,2029,1809.74,694.42,268.93,8.07,11.12.2025,24.09,19.99,Sparkasse,GESPERRT,N,N,,29.07.2019,05.04.2024,255.09,29,J,11764,
KD009,J,MAESTRO,****-****-****-9109,3,2026,8244.55,7946.34,3333.69,100.01,22.02.2025,21.75,49.99,Volksbank,KUENDIGUNG_BEANTRAGT,N,J,,05.12.2018,16.10.2024,29.53,15,N,1071,
KD010,J,AMERICAN_EXPRESS,****-****-****-9369,3,2028,5873.68,4537.70,2327.45,69.82,25.04.2024,20.63,29.99,Comdirect,ABGELAUFEN,J,N,,16.02.2024,21.04.2024,791.87,7,J,9755,
KD011,J,VISA,****-****-****-2923,8,2027,3811.48,3112.94,1338.80,40.16,30.08.2024,17.00,99.99,Volksbank,ABGELAUFEN,N,J,,28.11.2024,12.03.2024,628.96,14,J,18680,
KD012,J,AMERICAN_EXPRESS,****-****-****-5380,10,2029,2099.58,2055.49,491.53,14.75,10.06.2025,24.75,0.00,Commerzbank,KUENDIGUNG_BEANTRAGT,J,N,,04.06.2019,25.12.2024,693.53,16,J,23310,
KD013,J,MASTERCARD,****-****-****-7786,11,2028,5149.86,2973.66,1107.08,33.21,19.01.2025,19.42,0.00,ING-DiBa,ABGELAUFEN,N,N,,23.06.2023,16.06.2024,467.65,6,N,20802,
KD014,J,AMERICAN_EXPRESS,****-****-****-9105,2,2029,4278.30,4141.94,2823.16,84.69,01.10.2024,18.13,29.99,DKB,GESPERRT,N,N,,18.07.2018,24.01.2024,84.16,30,J,4071,
KD015,J,MASTERCARD,****-****-****-3161,8,2028,506.42,485.17,81.97,2.46,27.10.2025,17.92,29.99,Deutsche Bank,ABGELAUFEN,N,J,,04.03.2022,06.12.2024,723.52,11,J,12987,
KD016,J,MASTERCARD,****-****-****-3174,7,2025,7185.13,7.81,2740.73,82.22,30.08.2025,17.16,49.99,Deutsche Bank,AKTIV,N,J,,26.09.2022,21.12.2024,110.08,5,J,12552,Maria Partner
KD017,J,VISA,****-****-****-3181,2,2027,3991.84,1194.58,1222.21,36.67,18.10.2025,24.83,19.99,Deutsche Bank,AKTIV,J,N,,09.12.2021,19.04.2024,504.32,10,N,20187,
KD018,N,,,0,0,0.00,0.00,0.00,0.00,,0.00,0.00,,KEINE_KARTE,N,N,,,,0.00,0,N,0,
KD019,N,,,0,0,0.00,0.00,0.00,0.00,,0.00,0.00,,KEINE_KARTE,N,N,,,,0.00,0,N,0,Peter Partner
KD020,N,,,0,0,0.00,0.00,0.00,0.00,,0.00,0.00,,KEINE_KARTE,N,N,,,,0.00,0,N,0,Sandra Partner
KD021,N,,,0,0,0.00,0.00,0.00,0.00,,0.00,0.00,,KEINE_KARTE,N,N,,,,0.00,0,N,0,
KD022,N,,,0,0,0.00,0.00,0.00,0.00,,0.00,0.00,,KEINE_KARTE,N,N,,,,0.00,0,N,0,
KD023,N,,,0,0,0.00,0.00,0.00,0.00,,0.00,0.00,,KEINE_KARTE,N,N,,,,0.00,0,N,0,
KD024,N,,,0,0,0.00,0.00,0.00,0.00,,0.00,0.00,,KEINE_KARTE,N,N,,,,0.00,0,N,0,
KD025,N,,,0,0,0.00,0.00,0.00,0.00,,0.00,0.00,,KEINE_KARTE,N,N,,,,0.00,0,N,0,
