KUNDEN_NR,ANREDE,VORNAME,NACHNAME,GEBURTSDATUM,GESCHLECHT,STAATSANGEHOERIGKEIT,FAMILIENSTAND,KUNDEN_SEIT,KONTONUMMER,KONTOART,EROEFFNUNGSDATUM,KONTOSTAND,VERFUEGBARER_BETRAG,WAEHRUNG,SOLL_ZINSSATZ,KREDITLIMIT,IBAN,BIC,BANKLEITZAHL,FILIAL_CODE,BERATER_ID,KUNDEN_STATUS,RISIKOSTUFE,BEVORZUGTE_SPRACHE,KONTAKTKANAL,EINWILLIGUNG_DATUM,DATENSCHUTZ_AKZEPTIERT
KD001,Frau,Sandra,Müller,02.07.1960,F,DE,GESCHIEDEN,16.07.2017,DEKD00154927535,GESCHAEFTSKONTO,06.02.2022,33924.63,25068.12,EUR,1.039,7244.10,DE78161849593103413164,SSKMDEMM,95320121,F954,B6977,INAKTIV,HOCH,DE,TELEFON,08.05.2020,N
KD002,Herr,Klaus,Schmidt,17.09.1987,M,DE,LEBENSPARTNERSCHAFT,17.06.2008,DEKD00267796330,SPARKONTO,21.05.2012,57822.95,55500.80,EUR,9.955,29184.75,DE88095701543039117182,COBADEFF,98550256,F586,B3705,PREMIUM,SEHR_HOCH,DE,POST,18.01.2024,J
KD003,Herr,Klaus,Weber,14.07.1994,M,DE,LEDIG,03.10.2012,DEKD00397380687,GESCHAEFTSKONTO,02.08.2021,74124.09,75928.85,EUR,10.236,5823.02,DE46872343098050097882,DEUTDEDB,78159587,F182,B4044,AKTIV,NIEDRIG,DE,POST,12.07.2022,J
KD004,Frau,Birgit,Fischer,14.08.1976,F,DE,LEBENSPARTNERSCHAFT,29.10.2019,DEKD00489778067,GEMEINSCHAFTSKONTO,30.07.2016,7565.42,6141.52,EUR,0.620,9023.73,DE12805982620450533158,DRESDEFF,64543049,F735,B3532,INAKTIV,MITTEL,DE,POST,16.08.2022,J
KD005,Frau,Christine,Schneider,14.07.1967,F,DE,VERHEIRATET,21.10.2017,DEKD00528270317,GESCHAEFTSKONTO,08.02.2013,24880.92,20009.15,EUR,7.294,12669.61,DE04436995777387214895,DEUTDEDB,41523529,F788,B6085,INAKTIV,MITTEL,DE,POST,11.04.2018,J
KD006,Herr,Markus,Hoffmann,04.01.1963,M,DE,GESCHIEDEN,12.09.2010,DEKD00650323741,GEMEINSCHAFTSKONTO,21.02.2023,72406.11,64589.13,EUR,11.556,21170.17,DE68893734670656272980,SSKMDEMM,89442503,F677,B1444,AKTIV,SEHR_HOCH,DE,POST,07.03.2023,J
KD007,Herr,Andreas,Wagner,31.03.1992,M,DE,LEBENSPARTNERSCHAFT,03.08.2018,DEKD00753038948,GESCHAEFTSKONTO,24.10.2017,33720.69,28497.38,EUR,10.522,13572.18,DE87769453147379965075,COBADEFF,75437844,F317,B6813,PREMIUM,HOCH,DE,TELEFON,07.09.2024,N
KD008,Herr,Thomas,Becker,25.07.1966,M,DE,VERWITWET,29.08.2005,DEKD00890961645,GIROKONTO,27.05.2007,37657.88,30888.29,EUR,2.350,6346.55,DE94131869993867749649,SSKMDEMMXXX,18083974,F724,B2625,INAKTIV,MITTEL,DE,TELEFON,29.11.2018,J
KD009,Frau,Sabine,Schulz,22.12.1987,F,DE,VERWITWET,19.06.2010,DEKD00936957830,GEMEINSCHAFTSKONTO,31.03.2022,7481.14,5790.26,EUR,9.930,10665.94,DE07154516808760385977,DRESDEFF,16927215,F308,B5375,INAKTIV,HOCH,DE,SMS,09.06.2023,J
KD010,Frau,Ursula,Meyer,13.08.1984,F,DE,LEDIG,18.10.2015,DEKD01074291599,GEMEINSCHAFTSKONTO,05.05.2004,52231.12,35310.99,EUR,9.458,28979.91,DE62174596158657809134,COBADEFF,22130508,F544,B2612,AKTIV,SEHR_HOCH,DE,POST,11.05.2021,J
