ACCT_NUM,CUST_NUM,ACCT_OPEN_DT,LOAN_AMT,ORIG_TENOR,ORIG_MAT_DT,CURR_PRIN_BAL,CURR_INT_BAL,CURR_FEE_BAL,REM_TENOR,ACCT_DESC
100001,50001,2020-01-21,195433.77,60,2030-01-31,186679.87,1262.21,279.08,32,GK
100002,50002,2020-02-10,206242.85,360,2030-03-02,26300.01,2138.51,59.59,61,TK
100003,50003,2020-03-01,77471.66,360,2030-04-01,11501.31,1034.25,1299.77,145,TKE
100004,50004,2020-03-21,131660.75,240,2030-05-01,149370.09,4056.68,13.0,212,GK
100005,50005,2020-04-10,56301.2,240,2030-05-31,88361.38,819.62,1914.43,92,GK
100006,50006,2020-04-30,39640.98,240,2030-06-30,28695.51,4245.1,1207.45,212,TKE
100007,50007,2020-05-20,22600.63,240,2030-07-30,136375.88,4866.92,757.07,147,GK
100008,50008,2020-06-09,95021.7,360,2030-08-29,221935.68,1840.09,384.58,23,TK
100009,50009,2020-06-29,23289.07,120,2030-09-28,194401.74,4926.85,1710.64,227,GK
100010,50010,2020-07-19,39290.41,180,2030-10-28,116085.52,4178.85,325.31,96,TK
100011,50011,2020-08-08,70757.04,180,2030-11-27,176945.98,3433.56,142.81,168,GK
100012,50012,2020-08-28,59630.21,120,2030-12-27,45033.61,1928.3,1979.05,169,TK
100013,50013,2020-09-17,209566.97,120,2031-01-26,172730.49,4222.12,1552.0,64,TKE
100014,50014,2020-10-07,248322.75,180,2031-02-25,103285.37,377.63,1826.27,151,TKE
100015,50015,2020-10-27,264146.61,180,2031-03-27,57093.5,2521.19,1769.37,170,GK
100016,50016,2020-11-16,143067.04,180,2031-04-26,39209.43,3737.7,1077.95,197,TKE
100017,50017,2020-12-06,179529.94,360,2031-05-26,102853.12,1135.64,1995.08,136,TKE
100018,50018,2020-12-26,153119.59,60,2031-06-25,215970.21,806.56,319.96,180,GK
100019,50019,2021-01-15,132426.39,60,2031-07-25,99267.99,2999.65,936.1,70,TK
100020,50020,2021-02-04,291612.73,60,2031-08-24,171669.44,617.03,1769.58,198,TKE
100021,50021,2021-02-24,87379.31,180,2031-09-23,32330.28,2202.09,907.45,190,GK
100022,50022,2021-03-16,263997.35,180,2031-10-23,243112.58,3821.71,1015.36,33,TKE
100023,50023,2021-04-05,262450.39,180,2031-11-22,211208.99,2562.93,397.82,101,GK
100024,50024,2021-04-25,231128.13,360,2031-12-22,238607.44,4616.05,1836.99,159,TKE
100025,50025,2021-05-15,104005.26,60,2032-01-21,32407.59,1846.75,1970.64,212,GK
