ACCT_NUM,AKTIV_FLG,Debit_AMT,DEBIT_DAY,DEBIT_START_DATE,DEBIT_END_DATE,DB_IND,IBAN,BIC
100001,N,1540.96,9,2024-02-01,2028-02-01,Y,DE6713122943885129,CHASUS33
100002,N,180.06,11,2024-02-01,2028-02-01,Y,DE9825237111692468,CHASUS33
100003,Y,2236.63,18,2024-02-01,2028-02-01,N,DE1087095755904944,DEUTDEFF
100004,Y,2837.9,23,2024-02-01,2028-02-01,Y,DE1324512892309051,CHASUS33
100005,Y,1317.87,2,2024-02-01,2028-02-01,N,DE9097303409315114,DEUTDEFF
100006,N,669.73,8,2024-02-01,2028-02-01,Y,DE8026662504574666,BARCGB22
100007,N,2922.82,24,2024-02-01,2028-02-01,Y,DE9375623995022233,DEUTDEFF
100008,Y,2929.81,26,2024-02-01,2028-02-01,Y,DE4713621488336400,DEUTDEFF
100009,Y,2222.87,11,2024-02-01,2028-02-01,N,DE7033990114822178,BARCGB22
100010,Y,837.08,26,2024-02-01,2028-02-01,Y,DE8855780295229722,DEUTDEFF
100011,N,706.18,27,2024-02-01,2028-02-01,N,DE3748913715197667,DEUTDEFF
100012,Y,119.81,7,2024-02-01,2028-02-01,N,DE3509430541842860,DEUTDEFF
100013,N,1085.88,17,2024-02-01,2028-02-01,N,DE9837413526103597,BARCGB22
100014,N,2820.75,4,2024-02-01,2028-02-01,N,DE6229484227075803,CHASUS33
100015,Y,369.79,14,2024-02-01,2028-02-01,N,DE8083516596710873,CHASUS33
100016,N,1838.32,17,2024-02-01,2028-02-01,Y,DE9102019371641571,BARCGB22
100017,Y,801.43,23,2024-02-01,2028-02-01,N,DE5683021893424867,BARCGB22
100018,Y,1124.45,3,2024-02-01,2028-02-01,N,DE3827499906473191,BARCGB22
100019,Y,2173.28,10,2024-02-01,2028-02-01,N,DE4678479144549961,CHASUS33
100020,N,2106.76,18,2024-02-01,2028-02-01,Y,DE4787040992554678,BARCGB22
100021,N,2048.09,6,2024-02-01,2028-02-01,N,DE5935378728684245,DEUTDEFF
100022,N,896.4,14,2024-02-01,2028-02-01,N,DE4979254837114697,CHASUS33
100023,Y,1557.96,26,2024-02-01,2028-02-01,Y,DE1763772569022808,CHASUS33
100024,N,325.49,25,2024-02-01,2028-02-01,Y,DE3796009419462208,DEUTDEFF
100025,Y,484.69,2,2024-02-01,2028-02-01,Y,DE5279651373628196,BARCGB22
