ACCT_NUM,AKTIV_FLG,INSTALLMENT_AMT,INSTALLMENT_DAY,PLAN_START_DATE,PLAN_END_DATE
100001,N,858.5,10,2024-01-01,2028-01-01
100002,Y,4846.68,19,2024-01-01,2028-01-01
100003,Y,3765.08,2,2024-01-01,2028-01-01
100004,Y,2962.47,17,2024-01-01,2028-01-01
100005,Y,378.71,17,2024-01-01,2028-01-01
100006,Y,4271.58,3,2024-01-01,2028-01-01
100007,Y,3408.54,8,2024-01-01,2028-01-01
100008,N,687.44,19,2024-01-01,2028-01-01
100009,Y,2936.7,2,2024-01-01,2028-01-01
100010,Y,2154.2,19,2024-01-01,2028-01-01
100011,N,4680.06,7,2024-01-01,2028-01-01
100012,N,1269.56,13,2024-01-01,2028-01-01
100013,Y,3391.28,10,2024-01-01,2028-01-01
100014,N,1649.27,25,2024-01-01,2028-01-01
100015,Y,145.65,20,2024-01-01,2028-01-01
100016,Y,458.98,7,2024-01-01,2028-01-01
100017,N,749.04,12,2024-01-01,2028-01-01
100018,Y,4408.42,12,2024-01-01,2028-01-01
100019,N,872.96,27,2024-01-01,2028-01-01
100020,N,3097.22,26,2024-01-01,2028-01-01
100021,Y,3372.53,18,2024-01-01,2028-01-01
100022,N,4665.6,4,2024-01-01,2028-01-01
100023,Y,1395.88,4,2024-01-01,2028-01-01
100024,Y,1434.51,20,2024-01-01,2028-01-01
100025,Y,3616.3,7,2024-15-45,2028-01-01
